village,vlcode,state,district,block,population,total_population_village,total_households,total_geographical_area,latitude,longitude,aashray_risk_score,priority,risk_category,risk_model,risk_model_note,coastal_hazard_score,flood_hazard_score,cyclone_hazard_score,rainfall_hazard_score,multi_hazard_score,multi_hazard_category,hazards_available,hazard_contribution,forest_area,net_area_sown,total_unirrigated_land,area_irrigated_by_source,nearest_town_distance_from_village
Antei,396873,Odisha,Kendrapara,Marsaghai,953.0,953.0,190.0,117.0,20.348284804656426,86.42626612676328,69.22809516639015,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6807485201035912,1.0,0.6223304372471206,0.4123689316052198,0.6922809516639015,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,8.0,0.0,0.0,0.0,30.0
Beruhan,396942,Odisha,Kendrapara,Marsaghai,1637.0,1637.0,333.0,285.0,20.367659698556846,86.46762259215913,41.00877530168598,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.5890823995966901,0.0,0.6035569872672355,0.4123689316052198,0.4100877530168598,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,3.0,262.0,262.0,0.0,22.0
Khamagan,396882,Odisha,Kendrapara,Marsaghai,758.0,758.0,178.0,144.0,20.36787304421084,86.45081654356065,51.668399283645904,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6872713143100129,0.3,0.6121152488896451,0.4123689316052198,0.516683992836459,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,123.0,123.0,0.0,21.0
Naladiapalanda,396956,Odisha,Kendrapara,Mahakalapada,596.0,596.0,156.0,157.0,20.334865071374754,86.5005956471876,45.89041222270892,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6747640503580432,0.1,0.596004483194529,0.4123689316052198,0.4589041222270892,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,0.0,0.0,0.0,18.0
Badaghai,396955,Odisha,Kendrapara,Mahakalapada,742.0,742.0,159.0,136.0,20.341645372853478,86.50115226069592,49.43954969274405,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6286561784301672,0.3,0.5932994283093858,0.4123689316052198,0.4943954969274405,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,7.0,100.0,100.0,0.0,20.0
Batira,396887,Odisha,Kendrapara,Marsaghai,1924.0,1924.0,453.0,151.0,20.341039448163073,86.44522957121636,46.33067075253433,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6778404116040326,0.1,0.6099231908923584,0.4123689316052198,0.4633067075253433,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,6.0,0.0,0.0,0.0,30.0
Nuagan,396945,Odisha,Kendrapara,Mahakalapada,890.0,890.0,225.0,186.0,20.342767547451146,86.47144713740806,43.24696526530593,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6690564407867261,0.0,0.5971157363839901,0.4123689316052198,0.4324696526530593,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,14.0,139.0,139.0,0.0,30.0
Dhaniapada,396944,Odisha,Kendrapara,Mahakalapada,1544.0,1544.0,352.0,149.0,20.344595811102533,86.46420778602817,67.48412189964131,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6401380730178092,1.0,0.601304043080105,0.4123689316052198,0.674841218996413,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,16.0,77.0,77.0,0.0,28.0
Madhusudanpur,396891,Odisha,Kendrapara,Marsaghai,816.0,816.0,208.0,97.0,20.34503149600434,86.45855242409714,49.21220403090022,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6121003036855619,0.3,0.604072651529159,0.4123689316052198,0.4921220403090022,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,1.0,0.0,0.0,0.0,28.0
Sereinpur,396951,Odisha,Kendrapara,Mahakalapada,487.0,487.0,105.0,159.0,20.360204341108236,86.48993465785712,57.744635385676446,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.4898602869823673,0.8,0.5920579257640408,0.4123689316052198,0.5774463538567645,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,4.0,114.0,114.0,0.0,20.0
