village,vlcode,block,district,flood_hazard_category,flood_hazard_score,flood_occurrence_range,flood_data_source
Junapanga,396019,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Chakradharpur,396010,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nathapur,395961,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nodhabasanta,395962,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badanaukana,396023,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Manapara,395956,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bandhapur,396051,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Endulapur,395986,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sendhakani,395968,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Hatiagadi,395954,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kanafulia,395977,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jhinkiria,395958,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badhi,395972,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Prasanpur,396013,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Brahmansahi,396022,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kandhamara,396012,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Penth,396021,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gokhani,395971,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Chinchiri,395982,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Paripangara,395963,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Narangarh,395884,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kanakapur,395978,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bahargarh,395898,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Velsari,396047,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Joginatha,396074,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badkuji,395985,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gahmasikhar,395983,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Pokharia,395957,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mahulia,395953,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Guhalkani,395959,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sundripal,396073,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kathapangara,395973,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Krishnapriyapur,395882,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Lunia,396011,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Tiara,395992,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dhagua,395991,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bhadia,395901,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Khamarsahi,395955,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kathuaganda,395979,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Hatina,395988,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kaitha,395984,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dera,395987,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mugakani,395989,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Pachimaveda,395960,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kurunti,395990,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Chardia,395902,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nuagan,395980,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Maliparida,395965,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dhobeigarh,395974,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nachhipara,395976,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gadadharpur,395890,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Laxminarayanpur,395897,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Paunsiapal,397011,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ambaora,395891,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kanhupur,396050,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nuapokhari,395969,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Chittakolha,396014,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sankuji,396015,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bhatasahi,395967,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ogalasendha,395966,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Chakulidiha,397009,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kadalichua,396046,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Akarapara,396045,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Charapada,395648,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kharakhara,396105,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ujanga,395652,Rajkanika,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mirzapur,395709,Rajkanika,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Namatara,395649,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Deulatara,395650,Rajkanika,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Muradpur,395651,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Habalaganda,395711,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gopinathapur,395643,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Parinuapada,395712,Rajkanika,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bharigada,395705,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dakhinaveda,395907,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Abdulpur,395647,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mahamadpur,395592,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Hatasahi,395642,Rajkanika,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sihopada,395641,Rajkanika,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kanapur Kaema,395603,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Padhanpada,395594,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Batarapada,395598,Rajkanika,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bhamanda,395600,Rajkanika,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kanapur Barha,395602,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ahamadpur,395646,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Fazilpur,395593,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sanahalapada,395596,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Agapada,395640,Rajkanika,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gahamapal,395599,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Damodarpur,395645,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kothasahi,395653,Rajkanika,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Panasaganda,395644,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badahalapada,395595,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Domanda Barha,395601,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sikdarpur,395597,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nuadia,395745,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Balabhadraprasad,395917,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Parimakundapur,395713,Rajkanika,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Tentulikoli,395726,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Manikhandi,395919,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Deulasahi,395655,Rajkanika,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Belpal,395925,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badaraja,395722,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Barunadia,395706,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bartani,395676,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Keshanagar,395704,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Balikana,395924,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nahulia,395698,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Keradagarh,395914,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bandhapatana,395927,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Koranda,395721,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Pandurkoli,395747,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Meghapur,395725,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Patarapur,395758,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Chhadesh,395657,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baruna,395708,Rajkanika,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sisua,395695,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Banidihapatna,395707,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Chalunia,395697,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jaganathpursasan,395922,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ostia,395928,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nagada,395929,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bhagabanpur,395923,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Maneidiha,395702,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Chandanpur,395915,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nethuria,395858,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Rajpur,395916,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sanolara,395921,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Madhupur,395918,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Naladia,395930,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jayakunda,395759,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Achhutapur,395661,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Makundapur,395662,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Pandiapali,395675,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Singidi,395748,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gangadharprasaddia,395746,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bansaria,395718,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Khandeita,395743,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mahadeiadia,395744,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kothasahi,395701,Rajkanika,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gobanga,395719,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ayatan,395723,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Rautabartani,395724,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dalikaenda,395717,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Siko,395720,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badajoramuhan,395714,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jharkata,395715,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mangalapur,395716,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nandimahara,395699,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dasabhagaria,395703,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Joral,395696,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Giria,395700,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baradia,395920,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Matia,395910,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Pancheswar,395913,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Belpaldia,395926,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sangrampur,395728,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Anantapur,395683,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bektakolha,395887,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Khunta,395732,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Khuntakana,395854,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Chakamanpur,395841,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jaganathpur,395857,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Amanapari,395861,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Paramanandpur,395804,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jayanagar,395691,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Banabiharipur,395874,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kantapada,395694,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Hansua,395855,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kusunpur,395690,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sankarnathpeta,395871,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Madhupur,395862,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Chandibaunsamula,395900,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Hansina,395856,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Rajbijaya Nagar,395822,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baruna,395859,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Adabhutia,395837,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baunsakani,395864,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Rajrajeswaripur,395873,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dholamara,395852,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bhitargarh,395899,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badhinakolha,395894,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dhamara,395756,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Purusottampur,395835,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Garadapur,395749,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bishnupara,395896,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Hariharpur,395886,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Padmanav Pur,395868,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kuhudi,395620,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Koilipur,395736,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Madhupur,395815,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Balarampur,395845,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badapal,395869,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Katanabania,395752,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Loknathprasad,395850,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jaganathprasad_ Dia,395733,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Biradia,395757,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gothakolha,395849,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Handiagarh,395865,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Madarangapata,395750,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Singadapal,395872,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bimisnagar,395870,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Raulia,395692,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Junus Nagar,395836,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kandira,395860,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
