village,vlcode,coastal_hazard_score,flood_hazard_score,cyclone_hazard_score,rainfall_hazard_score,multi_hazard_score,multi_hazard_category,hazards_available,hazard_contribution
Manikunda,396897,0.6361755707716461,0.1,0.6163956072676279,0.4446950457593799,0.45889058220027673,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Bachharai,396717,0.6481842086442795,0.3,0.6266503882157657,0.4446950457593799,0.5150568687991013,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Godhan,396718,0.6030096368265525,0.3,0.6204482237447465,0.4446950457593799,0.4999539561360284,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Baghadia,396016,0.7114614071069432,0.0,0.5508177537142238,0.5378752947467564,0.4587179195099902,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Kurutunga,396539,0.5195891398714878,0.1,0.6041103345528125,0.4446950457593799,0.4208433347515254,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Thauri,396541,0.5832956565505314,0.1,0.5962342299389141,0.4446950457593799,0.4379862636017639,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Podana,396791,0.6462316451345773,0.8,0.6322656132656894,0.4446950457593799,0.6408749060086716,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Haladia,396941,0.5690626805304169,0.0,0.6079623417897612,0.4446950457593799,0.41164839875844134,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Dara Bachha,396898,0.5447451362561511,0.1,0.6116946153959664,0.4446950457593799,0.4302862038777129,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Bhusaranga,396879,0.6634944245147036,0.1,0.6141734601494531,0.4446950457593799,0.46653070154365034,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Raghabapur,396792,0.6832154685425014,0.3,0.6320474635267755,0.4446950457593799,0.5269155155963203,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Athabatia,396938,0.3807435355342112,0.3,0.5952980007079873,0.4446950457593799,0.42698656998913614,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Jay Chandrapur,396936,0.2973819539812843,0.1,0.5852881011741097,0.4446950457593799,0.3494756206397887,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Sasanipada,396787,0.541283570960519,0.1,0.6112320002194758,0.4446950457593799,0.42913208049490065,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Balikuda,396918,0.27628998796533977,0.1,0.5922161788216707,0.4446950457593799,0.34488005024689555,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Garajanga,396939,0.4454074986130617,0.1,0.6035882167995161,0.4446950457593799,0.3984583129356735,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Aitipur,396919,0.23563116307510243,0.1,0.5882866931214118,0.4446950457593799,0.3317000313547597,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
