slide_no,district,latitude,longitude,location,movement_type,history,source_page,source_text
KRL/WAY/58A02/2015/54,Wayanad,11.544592,76.178569,,,,322,KRL/WAY/58A02/2015/54 Kerala Wayanad Kozhokode - Vythiri-Gudallur Highway 11.544592 76.178569 Earth Slide NA 13708
KRL/WAY/58A02/2015/55,Wayanad,11.540817,76.172769,,"rock cum debris slide, debris slide",,322,KRL/WAY/58A02/2015/55 Kerala Wayanad Kozhokode - Vythiri-Gudallur Highway 11.540817 76.172769 Rock cum Debris Slide NA 13699
KRL/WAY/58A02/2015/56,Wayanad,11.540461,76.172875,,"rock cum debris slide, debris slide",,322,KRL/WAY/58A02/2015/56 Kerala Wayanad Kozhokode - Vythiri-Gudallur Highway 11.540461 76.172875 Rock cum Debris Slide NA 13697
KRL/WAY/58A02/2015/69,Wayanad,11.552339,76.101264,Chembra,debris slide,,322,KRL/WAY/58A02/2015/69 Kerala Wayanad Near road Jn towards Erumakolli School Chembra Peak Road 11.552339 76.101264 Debris Slide 2015
KRL/WAY/58A02/2015/72,Wayanad,11.550339,76.136878,Churalmala,debris slide,,322,KRL/WAY/58A02/2015/72 Kerala Wayanad Mappilathottam Mepadi-Churalmala Road 11.550339 76.136878 Debris Slide 2009 13718
KRL/WAY/58A02/2015/73,Wayanad,11.541958,76.137411,Churalmala,debris slide,,322,KRL/WAY/58A02/2015/73 Kerala Wayanad 1st Mile Mepadi-Churalmala Road 11.541958 76.137411 Debris Slide 1961 13700
KRL/WAY/58A02/2015/74,Wayanad,11.543631,76.122139,,debris slide,,322,KRL/WAY/58A02/2015/74 Kerala Wayanad Kadoor-10 Number Cholamala Road 11.543631 76.122139 Debris Slide 2009 13705
KRL/WAY/58A02/2015/75,Wayanad,11.542717,76.121397,,"rock cum debris slide, debris slide",,322,KRL/WAY/58A02/2015/75 Kerala Wayanad Kadoor-10 Number 1 Cholamala Road 11.542717 76.121397 Rock cum Debris Slide 2009 13701
KRL/WAY/58A02/2015/76,Wayanad,11.543053,76.156533,,debris slide,,322,KRL/WAY/58A02/2015/76 Kerala Wayanad Arepetta-Estate to 1mile road Kozhokode - Vythiri-Gudallur Highway 11.543053 76.156533 Debris Slide 1982 13702
KRL/WAY/58A02/2015/77,Wayanad,11.540794,76.154522,,debris slide,,322,KRL/WAY/58A02/2015/77 Kerala Wayanad Arepetta-1 Kozhokode - Vythiri-Gudallur Highway 11.540794 76.154522 Debris Slide 2010 13698
KRL/WAY/58A02/2015/78,Wayanad,11.54315,76.154031,,debris slide,,322,KRL/WAY/58A02/2015/78 Kerala Wayanad Thazhe Arepetta Kozhokode - Vythiri-Gudallur Highway 11.54315 76.154031 Debris Slide 1961 13703
KRL/WAY/58A02/2015/79,Wayanad,11.540061,76.153442,,debris slide,,322,KRL/WAY/58A02/2015/79 Kerala Wayanad Arepetta-Anakkap (Cut Slope Failure) Kozhokode - Vythiri-Gudallur Highway 11.540061 76.153442 Debris Slide 2010 13696
KRL/WAY/58A02/2015/80,Wayanad,11.538517,76.151192,,debris slide,,322,KRL/WAY/58A02/2015/80 Kerala Wayanad Arepetta-Anakkap Arapetta Road 11.538517 76.151192 Debris Slide 2010 13691
KRL/WAY/58A02/2015/81,Wayanad,11.538819,76.150189,,debris slide,,322,KRL/WAY/58A02/2015/81 Kerala Wayanad Anakkap - Near 1st Mile Arapetta Road 11.538819 76.150189 Debris Slide 2009 13692
KRL/WAY/58A02/2015/91,Wayanad,11.531636,76.182614,,debris slide,,322,KRL/WAY/58A02/2015/91 Kerala Wayanad Vallateri Pudukkod road Pichen-Noufal Road 11.531636 76.182614 Debris Slide NA 13685
KRL/WAY/58A02/2015/93,Wayanad,11.534597,76.189739,,debris slide,,322,KRL/WAY/58A02/2015/93 Kerala Wayanad Rippon tea estate Pichen-Noufal Road 11.534597 76.189739 Debris Slide 2010 13688
KRL/WAY/58A02/2015/94,Wayanad,11.547167,76.224153,,,,322,KRL/WAY/58A02/2015/94 Kerala Wayanad Mupainad Vaduvanchal-Chitragiri Road 11.547167 76.224153 Earth Slide 2007 13711
KRL/WAY/58A02/2015/95,Wayanad,11.536478,76.229122,,"rock cum debris slide, debris slide",,322,KRL/WAY/58A02/2015/95 Kerala Wayanad Nellimala Kozhokode - Vythiri-Gudallur Highway 11.536478 76.229122 Rock cum Debris Slide 2008 13690
KRL/WAY/58A02/2015/96,Wayanad,11.534194,76.228447,,debris slide,,322,KRL/WAY/58A02/2015/96 Kerala Wayanad Nellimala-1 Kozhokode - Vythiri-Gudallur Highway 11.534194 76.228447 Debris Slide 2008 13687
KRL/WAY/58A02/2015/97,Wayanad,11.534744,76.228631,,debris slide,,322,KRL/WAY/58A02/2015/97 Kerala Wayanad Nellimala-2 Kozhokode - Vythiri-Gudallur Highway 11.534744 76.228631 Debris Slide 2008 13689
KRL/WAY/58A02/2015/98,Wayanad,11.545375,76.155881,,debris slide,,322,KRL/WAY/58A02/2015/98 Kerala Wayanad Arepetta Tea Estate Kozhokode - Vythiri-Gudallur Highway 11.545375 76.155881 Debris Slide NA 13710
KRL/WAY/58A02/2015/99,Wayanad,11.543989,76.1553,,debris slide,,322,KRL/WAY/58A02/2015/99 Kerala Wayanad Arepetta Tea Estate-1 Kozhokode - Vythiri-Gudallur Highway 11.543989 76.1553 Debris Slide NA 13706
KRL/KOZ/54M14/2015/103,Wayanad,11.604167,75.857222,,debris flow,,323,KRL/KOZ/54M14/2015/103 Kerala Kozhikode Muthucadu Peruvannamoozhi Road 11.604167 75.857222 Debris Flow 2010 13752
KRL/KOZ/54M14/2015/104,Wayanad,11.6275,75.817222,,debris slide,,323,KRL/KOZ/54M14/2015/104 Kerala Kozhikode Chembanode SH54 11.6275 75.817222 Debris Slide NA 13754
KRL/KOZ/54M14/2015/136,Wayanad,11.558333,75.795,Chembra,debris slide,,323,KRL/KOZ/54M14/2015/136 Kerala Kozhikode Vengappatta Perambra-Chembra Road 11.558333 75.795 Debris Slide NA 13737
KRL/KOZ/54M14/2015/162,Wayanad,11.613889,75.813611,,debris slide,,323,KRL/KOZ/54M14/2015/162 Kerala Kozhikode Peruvannamoozhi SH54 11.613889 75.813611 Debris Slide NA 13753
KRL/KOZ/54M14/2015/164,Wayanad,11.558611,75.899167,,debris slide,,323,KRL/KOZ/54M14/2015/164 Kerala Kozhikode Kuttali Kakkayam Road 11.558611 75.899167 Debris Slide NA 13738
KRL/KOZ/54M14/2015/165,Wayanad,11.563889,75.899722,,debris slide,,323,KRL/KOZ/54M14/2015/165 Kerala Kozhikode Kakkayam hairpin Kakkayam Road 11.563889 75.899722 Debris Slide NA 13745
KRL/KOZ/54M14/2015/166,Wayanad,11.5675,75.898889,,debris slide,,323,KRL/KOZ/54M14/2015/166 Kerala Kozhikode Kakkayam hairpin Kakkayam Road 11.5675 75.898889 Debris Slide NA 13747
KRL/KOZ/54M14/2015/167,Wayanad,11.557222,75.910278,,rock fall,,323,KRL/KOZ/54M14/2015/167 Kerala Kozhikode Kakkayam hairpin Kakkayam Road 11.557222 75.910278 Rock Fall NA 13734
KRL/KOZ/54M14/2015/169,Wayanad,11.557778,75.916111,,debris slide,,323,KRL/KOZ/54M14/2015/169 Kerala Kozhikode Kakkayam hairpin Kakkayam Road 11.557778 75.916111 Debris Slide 1984 13736
KRL/KOZ/54M14/2015/170,Wayanad,11.557222,75.916611,,debris slide,,323,KRL/KOZ/54M14/2015/170 Kerala Kozhikode Kakkayam hairpin Kakkayam Road 11.557222 75.916611 Debris Slide 1984 13735
KRL/KOZ/54M14/2015/174,Wayanad,11.600278,75.819722,,debris slide,,323,KRL/KOZ/54M14/2015/174 Kerala Kozhikode Peruvannamoozhi SH54 11.600278 75.819722 Debris Slide NA 13751
KRL/KOZ/54M14/2015/187,Wayanad,11.561389,75.929722,,debris flow,,323,KRL/KOZ/54M14/2015/187 Kerala Kozhikode Attikod estate Kakkayam Road 11.561389 75.929722 Debris Flow 1994 13743
KRL/KOZ/54M14/2015/189,Wayanad,11.555278,75.908611,,debris flow,,323,KRL/KOZ/54M14/2015/189 Kerala Kozhikode Kakkayam hairpin Kakkayam Road 11.555278 75.908611 Debris Flow NA 13730
KRL/KOZ/54M14/2015/195,Wayanad,11.556667,75.918889,,"rock cum debris slide, debris slide",,323,KRL/KOZ/54M14/2015/195 Kerala Kozhikode Kakkayam hairpin Kakkayam Road 11.556667 75.918889 Rock cum Debris Slide NA 13732
